fact_date,product_id,sales_cnt
14.07.2023,2,225
12.03.2023,2,116
06.07.2023,2,137
22.03.2023,2,59
10.02.2023,2,37
27.04.2023,1,207
09.07.2023,2,241
23.01.2023,2,77
05.09.2023,2,68
01.04.2023,1,173
22.06.2023,2,25
14.02.2023,2,203
11.08.2023,2,38
27.05.2023,3,138
21.07.2023,1,143
21.06.2023,1,163
03.03.2023,1,53
30.01.2023,3,134
26.03.2023,2,46
20.09.2023,2,207
24.09.2023,2,210
15.09.2023,1,116
08.09.2023,1,147
24.06.2023,1,215
13.09.2023,2,68
12.01.2023,3,199
19.07.2023,3,51
11.05.2023,1,235
13.03.2023,2,76
03.08.2023,1,62
29.09.2023,1,90
24.06.2023,1,245
31.03.2023,1,108
29.08.2023,3,95
12.07.2023,1,175
27.04.2023,2,243
14.02.2023,2,57
04.01.2023,2,185
29.04.2023,2,135
06.04.2023,1,126
19.04.2023,3,154
21.05.2023,2,21
20.09.2023,2,179
04.08.2023,2,122
29.04.2023,2,26
17.04.2023,2,96
24.06.2023,2,107
05.09.2023,3,96
13.08.2023,3,93
10.01.2023,3,219
02.04.2023,1,74
14.01.2023,2,171
20.09.2023,2,162
17.03.2023,2,90
06.02.2023,3,97
24.01.2023,1,63
12.08.2023,2,79
06.07.2023,2,177
01.07.2023,3,200
26.02.2023,2,241
31.01.2023,1,217
28.05.2023,2,161
10.05.2023,2,111
09.03.2023,2,172
05.02.2023,2,48
16.03.2023,3,51
09.05.2023,2,73
12.03.2023,1,77
07.01.2023,3,123
13.05.2023,2,58
23.09.2023,3,187
27.05.2023,2,101
11.07.2023,1,175
20.07.2023,1,134
07.01.2023,1,142
24.04.2023,3,197
07.06.2023,1,91
19.07.2023,2,231
31.03.2023,1,207
20.04.2023,2,212
24.04.2023,2,76
05.04.2023,2,42
27.05.2023,2,57
10.01.2023,2,141
10.08.2023,2,104
09.04.2023,1,160
08.06.2023,2,47
21.04.2023,3,24
26.05.2023,3,191
13.02.2023,1,84
17.01.2023,3,134
05.04.2023,3,37
04.04.2023,1,220
11.06.2023,1,174
17.06.2023,2,64
18.03.2023,3,170
14.05.2023,2,206
06.08.2023,2,243
19.05.2023,1,24
26.07.2023,3,166
07.06.2023,3,109
07.10.2023,3,19
17.10.2023,2,152
27.10.2023,1,44
